AreaCode,AreaName,AreaType
S01008151,Harestanes - 03,Data Zones
S01008152,Harestanes - 04,Data Zones
S01008140,Hillhead - 05,Data Zones
S01008141,Rosebank and Waterside - 01,Data Zones
S01008138,Hillhead - 03,Data Zones
S01008139,Hillhead - 04,Data Zones
S01008143,Rosebank and Waterside - 03,Data Zones
S01008144,Rosebank and Waterside - 04,Data Zones
S01008142,Rosebank and Waterside - 02,Data Zones
S01008102,Auchinairn - 01,Data Zones
S01008103,Auchinairn - 02,Data Zones
S01008100,Bishopbriggs West and Cadder - 07,Data Zones
S01008101,Bishopbriggs West and Cadder - 08,Data Zones
